customId,questionId,rotation,createdAt,stemPreview
422577,q_d99f1a0a-008a-4fe4-9dbf-9c84c6a7137b,Internal Medicine,2025-09-04T08:26:08.288Z,a -
339229,q_3ce0da85-6569-4ab7-a1b2-29943031d71c,Pediatrics,2025-09-04T08:25:40.489Z,I — i a a:
510632,q_e13d6086-3da7-46d0-acd7-331e298d89e5,Internal Medicine,2025-09-04T08:25:32.454Z,I — i a a:
160984,q_721873fc-8edd-45db-802e-542aaba07c3e,Internal Medicine,2025-09-04T08:25:13.154Z,SO — L a a:»
323000,q_641297ce-5053-435b-99b8-0e22a70de036,Internal Medicine,2025-09-04T08:25:01.559Z,b= 0 a a:»
836294,q_3d7466c9-7386-4e77-a903-55429ef6c4b3,Internal Medicine,2025-09-04T08:24:50.887Z,ha Ny ___ ra a
753988,q_f5f7ce00-f7ab-4fa3-9d0b-b51eee3dc6e3,General Surgery,2025-09-04T08:24:31.043Z,1 pq — item 40f40 = al [52] ( 4
168730,q_747b730e-bbb6-429d-9be8-fb4785d6c758,Internal Medicine,2025-09-04T08:24:19.857Z,N— ra A [oz]
818139,q_ebe440db-6ba4-4de7-ad50-8daa76130fd5,Internal Medicine,2025-09-04T08:24:09.097Z,oh Ny __ ra -
490234,q_4ff3e32e-dd99-48ad-b9b2-da502ae2c262,Internal Medicine,2025-09-04T08:23:48.485Z,135 a Fa = =a
485279,q_0f2fc5e1-3eb6-4211-b957-043d46e31867,Internal Medicine,2025-09-04T08:23:28.694Z,a -
495935,q_8233c44f-e627-4e5b-96ab-06c99b1beeb2,Internal Medicine,2025-09-04T08:23:21.409Z,a -
287560,q_1038cf57-1ba0-450e-8ed3-93dbe87f91b8,Internal Medicine,2025-09-04T08:23:12.658Z,a -
845461,q_e9a741bf-c86e-4cdb-ad38-90c9c453e0b7,Pediatrics,2025-09-04T08:22:53.823Z,a -
878088,q_fdf7cca5-2b8c-448c-9b3c-794a737cc827,General Surgery,2025-09-04T08:22:42.352Z,I — i a a:
137092,q_69472b2f-ad2b-4279-815c-e4051aa65de6,Internal Medicine,2025-09-04T08:22:30.853Z,a -
715642,q_a687b41a-d635-4e2e-8ead-39ee1dc7054a,Internal Medicine,2025-09-04T08:22:20.316Z,a -
583555,q_44d929dc-8818-4fb3-a663-e1bdf3e8f9d0,Internal Medicine,2025-09-04T08:21:58.010Z,= i a a:
827249,q_daa400e2-8963-4cc8-8138-a6d2e60f3eef,Internal Medicine,2025-09-04T08:21:49.674Z,a -
282227,q_ab89aa39-0687-44ed-8e6f-390f3727d01a,Internal Medicine,2025-09-04T08:21:42.496Z,a -
369058,q_0770291e-b6f3-4f7f-b4f7-c6f14b618c01,Internal Medicine,2025-09-04T08:21:32.961Z,a -
686729,q_f7462c90-97dc-4f4c-8184-46a312dfad5e,General Surgery,2025-09-04T08:21:22.670Z,a -
811804,q_41f2f901-4000-4d2f-aaf9-acba5dd32df4,Internal Medicine,2025-09-04T08:21:03.553Z,a -
563970,q_dba2320e-79aa-479f-8cea-f5efb0225942,Internal Medicine,2025-09-04T08:20:44.406Z,1 NM — item 17 of 40 = al [52] ( 4
354322,q_ee5fe00a-ad87-470c-8084-b2fbaa6ecbce,Internal Medicine,2025-09-04T08:20:26.327Z,| — 03 a [- OY
644128,q_aa91c1b5-c699-47bf-a287-58d9b05214d1,Internal Medicine,2025-09-04T08:20:15.815Z,= L 2 a:»
359657,q_f1c40a8c-ffa8-474c-985c-f64226c2df74,Internal Medicine,2025-09-04T08:20:04.544Z,= L 2 a:»
303609,q_c57e1a2b-f8b9-4adb-a562-0b264b07a0bf,General Surgery,2025-09-04T08:19:53.660Z,I — i | = a:
502035,q_f74f8199-d73d-4bbe-8532-8edab9ddb2a1,General Surgery,2025-09-04T08:19:37.074Z,= L 2 a:»
935070,q_2034c246-896c-460e-997a-060dc4a919fd,Internal Medicine,2025-09-04T08:19:26.655Z,"g—""| — L 2 a:»"